"influences";"influenced"
"Dagfinn Føllesdal";"Willard Van Orman Quin"
"Jean Cavaillè";"Léon Brunschv"
"Joseph W. Kennedy";"Otto Hahn"
"U";"C. V. Raman Pill"
"E. P. Thompson";"William Blak"
"Gonzalo Vial C";"Jaime Eyz"
"Barry F. C";"George Grant (philosopher)"
"Andrew Dice Clay";"Lenny B"
"Bob Dylan";"William Blak"
"Charles Darwin";"Thomas Robert Mal"
"Charles Olson";"William Carlos William"
"Christopher Hitchen";"Salman R"
"Christopher Hitchen";"Thomas Pain"
"Christopher Hitchen";"Vladimir Nabokov"
"Cormac McCarthy";"William Faulkn"
"D. H. Lawren";"Thomas Hardy"
"Emmanuel Levin";"Martin H"
"Emmanuel Levin";"Émile Durkheim"
"Genesis P-O";"William S. B"
"Howard Stern";"Lenny B"
"John Zorn";"William S. B"
"Michel Foucaul";"Martin H"
"Michel Foucaul";"Jean Hyppol"
"Percy Bysshe Shelley";"Ov"
"Philip R";"William Faulkn"
"Porphyry (philosopher)";"Plotin"
"Thomas Jefferson";"Thomas Pain"
"Vilfredo P";"Léon Wal"
"Giuseppe Garibal";"Giuseppe Mazzin"
"Ghassan Tuen";"Antoun S"
"Pierangelo Garegnan";"Piero Sraff"
"Ramón López Vel";"Amado Nerv"
"Said Akl";"Antoun S"
"Stephen S";"Willard Van Orman Quin"
"Catherine Mal";"Luce Irigaray"
"Yves Simon";"Jacques Maritain"
"Jacques Drèz";"William Vickrey"
"Michael Huem";"Thomas R"
"Michel W";"Alfred North W"
"Adam Sandl";"Chris R"
"Alex R";"Norman Rockwell"
"Ben Ok";"William Blak"
"Bret Easton Ell";"William Faulkn"
"Christopher Paolin";"David Eddin"
"Daniel Clow";"Vladimir Nabokov"
"Ernest Beck";"Thomas Szasz"
"George Carlin";"Lenny B"
"Grant Morrison";"William S. B"
"Hannah Aren";"Martin H"
"Jhumpa L";"Vladimir Nabokov"
"Joe Haldeman";"Roger Zelazny"
"Joe Rogan";"Lenny B"
"John Fowl";"Thomas Hardy"
"John H. C";"John T"
"John Searl";"Elizabeth Anscom"
"Joyce Carol O";"William Faulkn"
"Julian Barn";"Ford Madox F"
"Katherine Paterson";"Lloyd Alexan"
"Keith Harin";"William S. B"
"Lewis Black";"Lenny B"
"Lydia Lun";"William S. B"
"Michael Chabon";"Vladimir Nabokov"
"Paul Krassn";"Abbie Hoffman"
"Paul Krassn";"Lenny B"
"Paul Krugman";"John Maynard Keyn"
"Paul Muldoon";"Seamus Heaney"
"Pete Doherty";"William Blak"
"Pete Hamill";"Normand P"
"Richard Pry";"Lenny B"
"Robert R";"John Maynard Keyn"
"Robert Silv";"Roger Zelazny"
"Simon Arm";"Ted H"
"Stewart L";"Lenny B"
"Taslima Nasrin";"Salman R"
"Terence McKenn";"Vladimir Nabokov"
"Thomas Nagel";"Elizabeth Anscom"
"Victor Pelevin";"Vladimir Nabokov"
"Vince Cabl";"Richard Reeves (British author)"
"Walter Jon William";"Roger Zelazny"
"William Hazl";"Michel de Montaign"
"Jerry Sadowitz";"Lenny B"
"Mark Pellington";"Phil Solomon (filmmaker)"
"Roger Scruton";"Elizabeth Anscom"
"Terry Bisson";"R. A. Lafferty"
"Thomas Bern";"Witold Gombrowicz"
"Adam F";"Chris R"
"Andre Dubus III";"Thomas Williams (writer)"
"Christopher Stasheff";"L. Sprague de Cam"
"David Ray Griffin";"Charles Hartshorn"
"Gregory M";"T. H. W"
"Kevin Young (poet)";"John Berryman"
"Kitty U";"Richard Reeves (British author)"
"Louis C.K";"Lenny B"
"Mark Leyn";"William S. B"
"Michel Onfray";"Michel de Montaign"
"Nick DiPaol";"Lenny B"
"Rebecca Guay";"John Bauer (illustrator)"
"Rich V";"Lenny B"
"Vic Chesn";"Stevie Sm"
"Judith Butl";"Luce Irigaray"
"Dam";"Plotin"
"Edwin McMillan";"Otto Hahn"
"Gemistus Pl";"Plotin"
"Gene Wolf";"R. A. Lafferty"
"Gene Wolf";"Vladimir Nabokov"
"Guy D";"André Breton"
"Henry G";"François Quesnay"
"Henry Vaughan";"Ben Jonson"
"Paul Verlain";"Stéphane Mallarmé"
"Rachel W";"Bruce Nauman"
"Theodore Roethk";"William Carlos William"
"Al-Kin";"Plotin"
"Emil Cioran";"Giacomo L"
"Eugen Bleul";"Auguste Forel"
"Fernand Braudel";"Émile Durkheim"
"Jean-François Ly";"Michel de Montaign"
"Joan Riv";"Lenny B"
"Maurice Blan";"Martin H"
"Donald Davidson (philosopher)";"Willard Van Orman Quin"
"Donald Davidson (philosopher)";"Elizabeth Anscom"
"Fernando Arrabal";"André Breton"
"George Chapman";"Ov"
"Giorgio Agamben";"Martin H"
"Kenzaburō Ō";"William Blak"
"Michael Dumm";"Gottlob F"
"Michael Dumm";"Elizabeth Anscom"
"Miroslav Krlež";"August Strin"
"Pierre Charron";"Michel de Montaign"
"Raymond Aron";"Léon Brunschv"
"Tommy Chon";"Lenny B"
"John Myhill";"Willard Van Orman Quin"
"Peter Waterhouse (writer)";"Ilse Aichin"
"Robert Gern";"Wilhelm B"
"Robin Hahnel";"John Maynard Keyn"
"Robin Hahnel";"Piero Sraff"
"Thomas Hodgskin";"Jean-Baptiste Say"
"Nicolas Abraham";"Sándor Ferencz"
"Bill Morrissey";"Thomas Williams (writer)"
"Lars Norén";"August Strin"
"Rudy A";"Frances Sensk"
"Candace Vogl";"Philippa F"
"Kenneth Turan";"Andrew S"
"Nicola Chiaromon";"Stéphane Mallarmé"
"Randall Collin";"Émile Durkheim"
"Alan Chalm";"Imre Lak"
"Isaak Kikoin";"Otto Hahn"
"Jonah Raskin";"Abbie Hoffman"
"Peter Riviè";"Audrey Butt Colson"
"David O. Meltz";"Gary Beck"
"George Elder Dav";"Thomas R"
"Arthur Cecil P";"Alfred Marshall"
"Elinor Ostrom";"James M. Buchanan"
"Frédéric Joliot-C";"Otto Hahn"
"Gabriel García Márquez";"Virginia Woolf"
"Gabriel García Márquez";"William Faulkn"
"Gaston Bachel";"Léon Brunschv"
"Igor Kurchatov";"Otto Hahn"
"Julian Huxley";"Thomas Henry Huxley"
"Nicholas Negropon";"Gordon Pask"
"Nick Cl";"Richard Reeves (British author)"
"Norman Mail";"William S. B"
"Rick S";"Lenny B"
"Duncan K. Foley";"Samuel Bowles (economist)"
"Dana Beal";"Abbie Hoffman"
"Lewis Call";"William Gibson"
"Ray B";"Wilfrid Sell"
"Stephen Will";"Roy A"
"Daniel Dickey";"Sarah Silverman"
"Mariana Mazz";"John Maynard Keyn"
"Alice McDerm";"Thomas Williams (writer)"
"David A. Hargrav";"Roger Zelazny"
"Hao Wang (academic)";"Willard Van Orman Quin"
"Lucien Lévy-Bruhl";"Émile Durkheim"
"Mo Yan";"William Faulkn"
"Nelson Goodman";"Rudolf Carn"
"Nicholas Wolterstorff";"Thomas R"
"Owen S";"Seamus Heaney"
"John Haddox";"Jacques Maritain"
"Giannina B";"Seamus Heaney"
"Giannina B";"Rubén Darí"
"John McDowell";"Philippa F"
"John McDowell";"Wilfrid Sell"
"Jon Stew";"Lenny B"
"Leo S";"Martin H"
"Robert Creeley";"William Carlos William"
"Gabriele Fall";"Andreas Vesal"
"Ivan Ill";"Jacques Maritain"
"John Cowper Powy";"Thomas Hardy"
"Moncure D. Conway";"Thomas Pain"
"Oliver E. Williamson";"Ian Roderick Macneil"
"Paul Samuelson";"John Maynard Keyn"
"Aaron Sloman";"Imre Lak"
"Arthur Rackham";"John Bauer (illustrator)"
"Bernard Stiegl";"Martin H"
"David Bl";"Émile Durkheim"
"David Bl";"Mary Dougl"
"E. E. Evans-P";"Émile Durkheim"
"Eugenio Montal";"Giacomo L"
"Eugenio Montal";"Maria Luisa Spazian"
"James Lax";"George Grant (philosopher)"
"Joanna Newsom";"Vladimir Nabokov"
"Joseph Hell";"Thomas Mann"
"Nobuo Ok";"Piero Sraff"
"Raphaelle Peal";"Rembrandt Peal"
"Roderick Chisholm";"Thomas R"
"Arthur Drew";"Plotin"
"Jan Patočk";"Martin H"
"Michał Kaleck";"Piero Sraff"
"Robinson Jeff";"Thomas Hardy"
