start,end,lon,lat,shape
2022-11-20 17:25:00,2022-11-20 18:10:00,0,0,45 mins
2022-11-20 17:01:00,2022-11-20 17:04:00,0,0,3 minutes or 3miles
2022-11-20 12:17:00,2022-11-20 17:17:00,0,0,Approximately 5 Minutes
2022-11-20 10:45:00,2022-11-20 11:00:00,0,0,15 min+
2022-11-19 23:49:00,2022-11-20 00:04:00,0,0,15 min+
2022-11-19 22:02:00,2022-11-19 22:05:00,0,0,3 minutes approximately
2022-11-19 21:40:00,2022-11-19 21:50:00,0,0,10 minutes
2022-11-19 21:36:00,2022-11-19 21:39:00,0,0,2-3 minutes
2022-11-19 21:03:00,2022-11-19 21:13:00,0,0,Approx 10minutes
2022-11-19 19:36:00,2022-11-19 19:37:00,0,0,"About 1 min, took pic."
2022-11-19 18:07:00,2022-11-19 18:08:00,0,0,1 minute
2022-11-19 18:05:00,2022-11-19 18:25:00,0,0,15 to 20 minutes total
2022-11-19 17:55:00,2022-11-19 17:55:00,0,0,A minute or so
2022-11-19 15:51:00,2022-11-19 15:53:00,0,0,about 2 minutes
2022-11-19 07:10:00,2022-11-19 07:10:00,0,0,since7pm last night
2022-11-19 02:40:00,2022-11-19 02:41:00,0,0,1 minute
2022-11-18 22:46:00,2022-11-18 22:47:00,0,0,1 minute
2022-11-18 19:14:00,2022-11-18 19:14:05,0,0,3-5 seconds
2022-11-18 18:00:00,2022-11-18 18:10:00,0,0,10 minutes
2022-11-18 02:00:00,2022-11-18 02:10:00,0,0,10 minutes
2022-11-18 01:19:00,2022-11-18 01:21:00,0,0,2 minutes
2022-11-18 00:46:00,2022-11-18 00:51:00,0,0,3-5 minutes
2022-11-18 00:14:00,2022-11-18 02:14:00,0,0,2hr
2022-11-17 23:02:00,2022-11-17 23:27:00,0,0,25 min
2022-11-17 22:02:00,2022-11-17 22:02:45,0,0,45 seconds
2022-11-17 20:31:00,2022-11-17 20:31:45,0,0,45 seconds
2022-11-17 11:24:00,2022-11-17 11:24:45,0,0,45 seconds
2022-11-17 08:51:00,2022-11-17 08:55:00,0,0,3 maybe 4 minutes
2022-11-17 07:24:00,2022-11-17 07:28:00,0,0,3 maybe 4 minutes
2022-11-17 03:25:00,2022-11-17 03:25:00,0,0,It was around 3:30 am
2022-11-17 01:35:00,2022-11-17 01:37:00,0,0,2 minutes
2022-11-17 00:45:00,2022-11-17 00:50:00,0,0,4-5 minutes
2022-11-16 20:34:00,2022-11-16 20:34:00,0,0,Hours
2022-11-16 20:03:00,2022-11-16 20:04:20,0,0,80 seconds
2022-11-16 19:40:00,2022-11-16 19:40:04,0,0,"4 seconds, approx."
2022-11-16 18:04:00,2022-11-16 18:10:00,0,0,6 minutes
2022-11-16 17:30:00,2022-11-16 17:30:20,0,0,<20 seconds
2022-11-16 13:40:00,2022-11-16 13:40:00,0,0,A few seconds
2022-11-16 13:32:00,2022-11-16 13:32:10,0,0,10 seconds
2022-11-16 01:00:00,2022-11-16 01:00:20,0,0,20 seconds
2022-11-16 00:39:00,2022-11-16 05:39:00,0,0,Almost 5 hours
2022-11-15 22:36:00,2022-11-15 22:51:00,0,0,15 min
2022-11-15 22:30:00,2022-11-15 22:30:00,0,0,Every night I believe
2022-11-15 19:52:00,2022-11-15 19:55:00,0,0,3 minutes
2022-11-15 18:30:00,2022-11-15 19:20:00,0,0,1:50 minutes
2022-11-15 15:11:00,2022-11-15 16:01:00,0,0,1:50 minutes
2022-11-15 14:44:00,2022-11-15 15:14:00,0,0,Over 30 minutes
2022-11-15 01:45:00,2022-11-15 02:30:00,0,0,45 minutes
2022-11-15 00:37:00,2022-11-15 00:52:00,0,0,Approximately 15 minutes
2022-11-14 23:30:00,2022-11-14 23:30:05,0,0,3 - 5 seconds
2022-11-14 20:30:00,2022-11-14 20:40:00,0,0,10 minutes
2022-11-14 20:30:00,2022-11-14 20:50:00,0,0,20min
2022-11-14 17:30:00,2022-11-14 17:30:00,0,0,slow decent for hours
2022-11-14 16:40:00,2022-11-14 16:45:00,0,0,About 5 minutes in sky
2022-11-14 16:40:00,2022-11-14 16:45:00,0,0,About 5 minutes still.
2022-11-14 15:11:00,2022-11-14 15:11:02,0,0,2 seconds
2022-11-14 15:10:00,2022-11-14 15:10:02,0,0,2 seconds
2022-11-14 01:21:00,2022-11-14 01:26:00,0,0,5 mins
2022-11-14 00:48:00,2022-11-14 00:49:00,0,0,1 minute
2022-11-13 20:03:00,2022-11-13 20:03:00,0,0,A few min
2022-11-13 19:50:00,2022-11-13 19:50:00,0,0,Lights in the clouds
2022-11-13 18:45:00,2022-11-13 18:45:30,0,0,30 seconds to a minute
2022-11-13 18:30:00,2022-11-13 18:30:10,0,0,10 seconds
2022-11-13 18:02:00,2022-11-13 18:02:00,0,0,In a photo I took of city
2022-11-13 17:50:00,2022-11-13 17:54:00,0,0,3-4 min
2022-11-13 12:15:00,2022-11-13 12:21:00,0,0,6 minutes
2022-11-13 03:10:00,2022-11-13 03:10:00,0,0,one hour
2022-11-13 00:33:00,2022-11-13 00:34:00,0,0,1 minute
2022-11-12 23:36:00,2022-11-12 23:46:00,0,0,5-10 minutes
2022-11-12 22:32:00,2022-11-12 22:32:10,0,0,10 seconds
2022-11-12 22:30:00,2022-11-12 22:30:10,0,0,Roughly 10 seconds
2022-11-12 22:10:00,2022-11-12 22:10:10,0,0,Roughly 10 seconds
2022-11-12 21:41:00,2022-11-12 21:46:00,0,0,3/5mins at a fast paste
2022-11-12 21:40:00,2022-11-12 21:40:30,0,0,30 Seconds
2022-11-12 21:30:00,2022-11-12 21:35:00,0,0,5 minutes
2022-11-12 21:02:00,2022-11-12 21:04:00,0,0,2 minutes
2022-11-12 20:22:00,2022-11-12 20:25:00,0,0,3 minutes in and out
2022-11-12 19:20:00,2022-11-12 19:20:30,0,0,30 sec
2022-11-12 19:03:00,2022-11-12 19:13:00,0,0,5-10 minutes
2022-11-12 18:50:00,2022-11-12 18:50:30,0,0,30 seconds max
2022-11-12 18:45:00,2022-11-12 18:55:00,0,0,10mins
2022-11-12 18:33:00,2022-11-12 18:33:00,0,0,unknown
2022-11-12 16:00:00,2022-11-12 16:00:00,0,0,A second
2022-11-12 13:15:00,2022-11-12 13:15:30,0,0,30 seconds
2022-11-12 09:02:00,2022-11-12 09:04:00,0,0,2 minutes
2022-11-12 09:00:00,2022-11-12 09:30:00,0,0,30 mins
2022-11-12 08:01:00,2022-11-12 08:01:22,0,0,22 seconds
2022-11-12 00:35:00,2022-11-12 00:38:00,0,0,3min
2022-11-12 00:35:00,2022-11-12 00:38:00,0,0,3min
2022-11-12 00:08:00,2022-11-12 00:09:00,0,0,1 minute
2022-11-11 23:20:00,2022-11-11 23:20:00,0,0,6 SECONDS
2022-11-11 22:45:00,2022-11-11 22:45:20,0,0,20 seconds
2022-11-11 22:05:00,2022-11-11 22:06:00,0,0,Seen for 60 sec
2022-11-11 21:15:00,2022-11-11 21:45:00,0,0,30 min
2022-11-11 21:05:00,2022-11-11 21:05:00,0,0,A few minutes maybe
2022-11-11 20:30:00,2022-11-11 21:00:00,0,0,30min and more
2022-11-11 20:23:00,2022-11-11 21:23:00,0,0,1 hour
2022-11-11 20:05:00,2022-11-11 20:05:30,0,0,30 sec
2022-11-11 20:04:00,2022-11-11 20:04:05,0,0,5 seconds or so
2022-11-11 19:23:00,2022-11-11 22:23:00,0,0,3 hours?
2022-11-11 19:00:00,2022-11-11 19:30:00,0,0,30 minutes
2022-11-11 16:00:00,2022-11-11 16:05:00,0,0,5 min
2022-11-11 02:00:00,2022-11-11 02:10:00,0,0,10 minutes
2022-11-11 00:02:00,2022-11-11 00:11:00,0,0,9 minutes
2022-11-10 22:36:00,2022-11-10 22:36:00,0,0,Over an hour now
2022-11-10 22:35:00,2022-11-10 22:35:00,0,0,Over an hour now
2022-11-10 22:29:00,2022-11-10 22:29:15,0,0,3 mins 15 seconds
2022-11-10 22:15:00,2022-11-10 22:15:15,0,0,3 mins 15 seconds
2022-11-10 22:03:00,2022-11-10 22:03:00,0,0,Over two hours
2022-11-10 21:00:00,2022-11-10 21:00:00,0,0,Ongoing
2022-11-10 20:16:00,2022-11-10 20:19:00,0,0,For up to 3min
2022-11-10 18:15:00,2022-11-10 18:15:00,0,0,Nightly.
2022-11-10 16:38:00,2022-11-10 16:38:00,0,0,several minutes
2022-11-10 14:00:00,2022-11-10 14:00:00,0,0,June/July 2019-11/2022
2022-11-10 13:12:00,2022-11-10 13:12:21,0,0,21secs.
2022-11-10 00:00:00,2022-11-10 00:00:00,0,0,?
2022-11-09 22:40:00,2022-11-09 22:50:00,0,0,10 minutes
2022-11-09 22:33:00,2022-11-09 22:48:00,0,0,About 15 minutes.
2022-11-09 21:15:00,2022-11-09 21:25:00,0,0,About 10 minutes
2022-11-09 20:30:00,2022-11-09 20:50:00,0,0,"Three times, over 20 mins"
2022-11-09 19:30:00,2022-11-09 19:30:00,0,0,Few min
2022-11-09 19:28:00,2022-11-09 19:48:00,0,0,20 minutes
2022-11-09 18:33:00,2022-11-09 18:33:00,0,0,All night every night
2022-11-09 17:55:00,2022-11-09 17:56:00,0,0,60 seconds
2022-11-09 17:40:00,2022-11-09 17:41:00,0,0,1 minute
2022-11-09 17:30:00,2022-11-09 17:34:00,0,0,4 minutes
2022-11-09 17:20:00,2022-11-09 17:20:10,0,0,10 seconds
2022-11-09 10:00:00,2022-11-09 10:00:22,0,0,22 seconds of footage
2022-11-09 05:20:00,2022-11-09 05:20:22,0,0,22 seconds of footage
2022-11-09 01:30:00,2022-11-09 01:30:05,0,0,>5 seconds
2022-11-09 01:30:00,2022-11-09 01:30:04,0,0,2-4 seconds
2022-11-08 23:15:00,2022-11-09 00:45:00,0,0,90 minutes
2022-11-08 22:59:00,2022-11-08 22:59:00,0,0,1 year
2022-11-08 21:45:00,2022-11-08 21:45:00,0,0,1 year
2022-11-08 21:30:00,2022-11-08 21:40:00,0,0,10 minutes
2022-11-08 20:40:00,2022-11-08 20:43:00,0,0,3 minutes
2022-11-08 20:20:00,2022-11-08 20:20:05,0,0,5 seconds
2022-11-08 20:07:00,2022-11-08 20:22:00,0,0,15 minutes
