"influences";"influenced"
"Richard Sylvan";"Alexius Meinon"
"Richard Velkley";"Dieter Hen"
"Richard Wagn";"Arthur Schopen"
"Roald Hoffmann";"Kenichi Fuk"
"Robert A. Heinlein";"Alfred Korzybsk"
"Robert Anton Wilson";"Alan W"
"Robert Anton Wilson";"Alfred Korzybsk"
"Robert Anton Wilson";"Benjamin Tuck"
"Robert B. Pippin";"Dieter Hen"
"Robert Brandom";"David Lewis (philosopher)"
"Robert F. Engl";"David Forbes Hendry"
"Robert Fogel";"Alfred H. Con"
"Robert Frodeman";"Alphonso Lin"
"Robert Grav";"W. H. R. Riv"
"Robert G";"Al-Kin"
"Robert May, Baron May of Oxf";"W. Ross Ashby"
"Robert Solow";"Alvin Hansen"
"Robert Wichard Pohl";"Arthur R. von Hippel"
"Robin Collin";"Alvin Plantin"
"Robin Hahnel";"Amartya Sen"
"Robyn Carston";"Dan S"
"Roderick Chisholm";"Alexius Meinon"
"Roger Bacon";"Al-Kin"
"Roger Edwards (meteorologist)";"Alan Moll"
"Roger Farm";"Axel Leijonhufv"
"Roger Pen";"Dennis W. Sciam"
"Hugo G";"Andrzej Frycz Modrzewsk"
"J. David Velleman";"David Lewis (philosopher)"
"Fang K";"Wang Yuan (mathematician)"
"Favorin";"Aenesidem"
"Favorin";"Arcesil"
"Favorin";"Alcmaeon of Croton"
"Feodor Yulievich Levinson-Lessin";"Vasily Dokuchaev"
"Ferdinand de S";"August Leskien"
"Fidel C";"Alexander Herzen"
"Barry Loew";"David Lewis (philosopher)"
"Jeff McMahan (philosopher)";"Derek Parf"
"Jeffrey S";"David Lan"
"Jerry F";"David Hum"
"Jesse S";"Andrei Shleif"
"Jian Ma (computer scientist)";"David Haussl"
"Johan N";"Anders Chyden"
"Johann Georg Hamann";"David Hum"
"Johann Joachim Winckelmann";"Alexander Gottlieb Baumgarten"
"Johann Wolfgang von G";"Denis D"
"Johann Wolfgang von G";"Diogo de Carvalho e Sampay"
"Johannes Brahm";"Arthur Schopen"
"Johannes Letzmann";"Alfred Wegen"
"John C. Lilly";"Heinz von F"
"John Corcoran (logician)";"Alfred Tarsk"
"John Crowley (author)";"Hans Jon"
"John Frame (theologian)";"Alvin Plantin"
"John Gray (philosopher)";"Arthur Schopen"
"John Hawthorn";"David Lewis (philosopher)"
"John Henry Mackay";"Benjamin Tuck"
"John Hick";"Alvin Hansen"
"Leo S";"Al-F"
"Leo S";"Alexandre Kojèv"
"Leo S";"Alexandre Koyré"
"Leo S";"Auguste Com"
"Leo Tolstoy";"Arthur Schopen"
"Leo VI the W";"Arethas of C"
"Leon K";"Hans Jon"
"Leon Trotsky";"Alexander Herzen"
"Leonard Bloomfiel";"August Leskien"
"Leonardo da Vin";"John Argyropoul"
"L";"Anaximenes of Mil"
"Lev Cherny";"Benjamin Tuck"
"Lev Karsavin";"Vladimir Solovyov (philosopher)"
